url,name,logo_url,established,market_share,growth,total_generics,headquarter,contact_details,fax,description,generics,brands
https://medex.com.bd/companies/14/beximco-pharmaceuticals-ltd,Beximco Pharmaceuticals Ltd.,https://medex.com.bd/storage/images/company_logos/u9SEyBHO8Wo45VJaNBaTH2RC6izRy7.png,1980,9.60%,16.31%,403,"19 Dhanmondi R/A, Road No. 7, Dhaka 1205, Bangladesh.",880-2-58611001-7,"880-2-58613888, +880-2-58614601",N/A,403,749
https://medex.com.bd/companies/418/bexter-pharmaceuticals/brands,Bexter Pharmaceuticals,N/A,,,,,,,,N/A,15,16
https://medex.com.bd/companies/563/bio-care-pharmaceutical/brands,BIO Care pharmaceutical,N/A,,,,,,,,N/A,1,1
https://medex.com.bd/companies/547/biocell-ayurvedic-limited/brands,Biocell Ayurvedic Limited,N/A,,,,,,,,N/A,16,16
https://medex.com.bd/companies/102/biogen-pharmaceuticals-ltd/brands,Biogen Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,52,60
https://medex.com.bd/companies/15/biopharma-limited,Biopharma Limited,https://medex.com.bd/storage/images/company_logos/HrFIozt2EMyNaUPT0ietnOfmfZ3CEX.png,1999,0.09%,-39.85%,194,"House No # 01, Road No# 01, Dhaka Housing Ltd
Adabor, Dhaka-1207",+88-02-58157953,,N/A,194,334
https://medex.com.bd/companies/191/bots-pvt-limited/brands,BOTS Pvt. Limited,N/A,,,,,,,,N/A,12,14
https://medex.com.bd/companies/386/bright-healthcare/brands,Bright HealthCare,N/A,,,,,,,,N/A,1,1
https://medex.com.bd/companies/16/bristol-pharmaceuticals-ltd/brands,Bristol Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,58,82
https://medex.com.bd/companies/336/bronson-laboratories-bd-ltd/brands,Bronson  Laboratories (BD) Ltd.,N/A,,,,,,,,N/A,5,5
https://medex.com.bd/companies/417/c2c-pharma-ltd/brands,C2C Pharma Ltd.,N/A,,,,,,,,N/A,25,33
https://medex.com.bd/companies/273/centeon-pharma-ltd/brands,Centeon Pharma Ltd.,N/A,,,,,,,,N/A,18,24
https://medex.com.bd/companies/171/central-pharmaceuticals-ltd/brands,Central Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,44,54
https://medex.com.bd/companies/18/chemist-laboratories-ltd/brands,Chemist Laboratories  Ltd.,N/A,,,,,,,,N/A,111,143
https://medex.com.bd/companies/174/city-overseas-ltd/brands,City Overseas Ltd.,N/A,,,,,,,,N/A,22,26
https://medex.com.bd/companies/19/concord-pharmaceuticals-ltd/brands,Concord Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,83,137
https://medex.com.bd/companies/153/cosmic-pharma-ltd/brands,Cosmic Pharma Ltd.,N/A,,,,,,,,N/A,57,76
https://medex.com.bd/companies/117/cosmo-pharma-laboratories-ltd/brands,Cosmo Pharma Laboratories Ltd.,N/A,,,,,,,,N/A,31,37
https://medex.com.bd/companies/276/credence-pharmaceuticals-ltd/brands,Credence Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,14,20
https://medex.com.bd/companies/424/curx/brands,CuRx,N/A,,,,,,,,N/A,3,4
https://medex.com.bd/companies/535/dbl-healthcare-ltd/brands,DBL Healthcare Ltd.,N/A,,,,,,,,N/A,10,34
https://medex.com.bd/companies/330/dbl-pharmaceuticals-ltd/brands,DBL Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,72,129
https://medex.com.bd/companies/101/decent-pharma-laboratories-ltd/brands,Decent Pharma Laboratories Ltd.,N/A,,,,,,,,N/A,23,30
https://medex.com.bd/companies/83/delta-pharma-ltd,Delta Pharma Ltd.,https://medex.com.bd/storage/images/company_logos/jbUfGeVorXeau8h6XYYU5tTL0NSILo.png,2004,0.12%,-26.43%,106,"House # 501, Road # 34
New DOHS, Mohakhali, Dhaka-1206","+88-02 9892192, 8711645-7",+88-02-8750959,N/A,106,182
https://medex.com.bd/companies/392/derma-health-care/brands,Derma Health Care,N/A,,,,,,,,N/A,1,1
https://medex.com.bd/companies/556/dermolive/brands,Dermolive,N/A,,,,,,,,N/A,5,5
https://medex.com.bd/companies/22/desh-pharmaceuticals-ltd/brands,Desh Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,82,123
https://medex.com.bd/companies/480/discount-pharma/brands,Discount Pharma,N/A,,,,,,,,N/A,1,3
https://medex.com.bd/companies/414/divas-secret/brands,Diva’s Secret,N/A,,,,,,,,N/A,1,1
https://medex.com.bd/companies/24/doctor-tims-pharmaceuticals-ltd/brands,Doctor TIMS Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,54,66
https://medex.com.bd/companies/23/doctors-chemical-works-ltd/brands,Doctor’s Chemical Works Ltd.,N/A,,,,,,,,N/A,37,43
https://medex.com.bd/companies/393/dr-rhazes/brands,Dr Rhazes,N/A,,,,,,,,N/A,1,1
https://medex.com.bd/companies/25/drug-international-ltd,Drug International Ltd.,https://medex.com.bd/storage/images/company_logos/rPXEx1GsYjyvULKegNC5uiQihcdB2E.png,1974,2.90%,-1.41%,482,"Khwaja Enayetpuri (R) Tower, 17, Bir Uttam K.M. Shafiullah Road (Green Road), Dhaka-1205","(+880) 2 9662611-4, 9670257, 9671283",(+880) 2 9671453,N/A,482,785
https://medex.com.bd/companies/119/edruc-limited/brands,Edruc Limited,N/A,,,,,,,,N/A,110,156
https://medex.com.bd/companies/350/emcs-pharma-limited/brands,EMCS Pharma Limited,N/A,,,,,,,,N/A,2,2
https://medex.com.bd/companies/436/empecs-medical-device-co-ltd/brands,"EMPECS Medical Device Co., Ltd.",N/A,,,,,,,,N/A,1,1
https://medex.com.bd/companies/305/empiric-laboratories-ltd/brands,Empiric Laboratories Ltd.,N/A,,,,,,,,N/A,1,1
https://medex.com.bd/companies/498/ergon-pharmaceuticals-ay/brands,Ergon Pharmaceuticals (AY),N/A,,,,,,,,N/A,1,1
https://medex.com.bd/companies/27/eskayef-pharmaceuticals-ltd,Eskayef Pharmaceuticals Ltd.,https://medex.com.bd/storage/images/company_logos/9AudX22YoAsfKjFQQkxPTrxkKpfUnv.png,1990,4.71%,35.46%,470,"Plot 82, Road 14, Block B,  Banani, Dhaka-1213","880-2-8818327, 8814662","880-2-9887373, 9887376",N/A,437,768
https://medex.com.bd/companies/157/ethical-drugs-limited/brands,Ethical Drugs Limited,N/A,,,,,,,,N/A,67,115
https://medex.com.bd/companies/121/euro-pharma-ltd/brands,Euro Pharma Ltd.,N/A,,,,,,,,N/A,136,211
https://medex.com.bd/companies/127/everest-pharmaceuticals-ltd,Everest Pharmaceuticals Ltd.,https://medex.com.bd/storage/images/company_logos/Ax4nGtgt5fdoznE4RofJiJqpWwObXj.png,2017,0.16%,13.71%,129,"Rahman's Regnum Centre (10th & 11th floor), 191/1 Tejgaon C/A, Dhaka-1208.","(+8802) 01958 311318
(+8802) 01958 310000",,N/A,129,186
https://medex.com.bd/companies/266/fnf-pharmaceuticals-ltd/brands,FnF Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,7,7
https://medex.com.bd/companies/137/gaco-pharmaceuticals-ltd/brands,Gaco Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,68,92
https://medex.com.bd/companies/29/general-pharmaceuticals-ltd,General Pharmaceuticals Ltd.,https://medex.com.bd/storage/images/company_logos/EVsw18U4JCjHf9KGqpuIyWzDZHYie3.jpg,1987,1.06%,-16.90%,285,"Sara Aftab Tower
29 Ring Road, Holdings no. 6/1/A (5th Floor)
Shamoli, Adabor, Dhaka-1207.","+8809639-667788
+880-2-9142469",+880-2-9120657,N/A,285,480
https://medex.com.bd/companies/30/genvio-pharma-ltd/brands,Genvio Pharma Ltd.,N/A,,,,,,,,N/A,25,40
https://medex.com.bd/companies/267/get-well-limited/brands,Get Well Limited,N/A,,,,,,,,N/A,7,16
https://medex.com.bd/companies/351/glaxosmithkline-pharmaceuticals/brands,GlaxoSmithKline Pharmaceuticals,N/A,,,,,,,,N/A,4,5
https://medex.com.bd/companies/31/globe-pharmaceuticals-ltd,Globe Pharmaceuticals Ltd.,https://medex.com.bd/storage/images/company_logos/h80Ic3lrG0YzzBV4blQUtibR4Qw7hM.png,1986,0.21%,-37.49%,176,"Plot#3/KA (New), Tejgaon I/A
Dhaka-1208",+88-02-8879300-4,,N/A,176,291
https://medex.com.bd/companies/120/globex-pharmaceuticals-ltd/brands,Globex Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,30,44
https://medex.com.bd/companies/32/gonoshasthaya-pharma-ltd/brands,Gonoshasthaya Pharma Ltd.,N/A,,,,,,,,N/A,102,158
https://medex.com.bd/companies/268/goodman-pharmaceuticals-ltd/brands,Goodman Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,50,87
https://medex.com.bd/companies/536/green-laboratories-unani/brands,Green Laboratories (Unani),N/A,,,,,,,,N/A,36,37
https://medex.com.bd/companies/212/greenland-pharmaceuticals-ltd/brands,Greenland Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,13,13
https://medex.com.bd/companies/261/guardian-healthcare-ltd/brands,Guardian Healthcare Ltd.,N/A,,,,,,,,N/A,35,41
https://medex.com.bd/companies/100/hallmark-pharmaceuticals-ltd/brands,Hallmark Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,42,62
https://medex.com.bd/companies/85/healthcare-pharmaceuticals-ltd,Healthcare Pharmaceuticals Ltd.,https://medex.com.bd/storage/images/company_logos/6ShbZ14Bwer1s0Y3oAsXHOrJlE8DsD.png,1988,7.45%,18.27%,367,"Nasir Trade Centre; Level- 9 & 14, 89 Bir Uttam CR Datta Road, Banglamotor, Dhaka-1205","+88-02-9632175, +88-02-9632176, +8801888819000",+88-02-9632172,N/A,367,682
https://medex.com.bd/companies/485/herbex-co-unani/brands,Herbex & co (Unani),N/A,,,,,,,,N/A,4,4
https://medex.com.bd/companies/33/hudson-pharmaceuticals-ltd/brands,Hudson Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,64,94
https://medex.com.bd/companies/35/ibn-sina-pharmaceuticals-ltd,Ibn Sina Pharmaceuticals Ltd.,https://medex.com.bd/storage/images/company_logos/EeRikXyuuOiEC48pwA4gO2Y78pu7KA.png,1983,0.95%,-1.53%,395,"Tanin Center, 3 Asad Gate,
Mirpur Road, Mohammadpur,
Dhaka-1207",,,N/A,395,596
https://medex.com.bd/companies/106/incepta-pharmaceuticals-ltd,Incepta Pharmaceuticals Ltd.,https://medex.com.bd/storage/images/company_logos/he56uP8ysDXqsuuG03SjStweqrtSL9.png,1999,11.99%,16.12%,846,"40 Shahid Tajuddin Ahmed Sarani, Tejgaon I/A, Dhaka -1208, Bangladesh","+88-02-8891688 -703, +88-02-8891190",,N/A,829,1511
https://medex.com.bd/companies/99/indo-bangla-pharmaceutical/brands,Indo Bangla Pharmaceutical,N/A,,,,,,,,N/A,29,39
https://medex.com.bd/companies/217/institute-of-public-health-iph/brands,Institute of Public Health (IPH),N/A,,,,,,,,N/A,6,8
https://medex.com.bd/companies/290/international-agencies-bd-limited/brands,International Agencies (Bd.) Limited,N/A,,,,,,,,N/A,6,8
https://medex.com.bd/companies/176/janata-traders/brands,Janata Traders,N/A,,,,,,,,N/A,30,43
https://medex.com.bd/companies/429/jayson-natural-products-ltd/brands,Jayson Natural Products Ltd.,N/A,,,,,,,,N/A,27,30
https://medex.com.bd/companies/37/jayson-pharmaceutical-ltd/brands,Jayson Pharmaceutical Ltd.,N/A,,,,,,,,N/A,122,198
https://medex.com.bd/companies/39/jenphar-bangladesh-ltd/brands,Jenphar Bangladesh Ltd.,N/A,,,,,,,,N/A,97,151
https://medex.com.bd/companies/442/jmi-syringes-medical-devices-ltd/brands,JMI Syringes & Medical Devices Ltd.,N/A,,,,,,,,N/A,1,1
https://medex.com.bd/companies/205/kawsar-chemicals/brands,Kawsar Chemicals,N/A,,,,,,,,N/A,1,2
https://medex.com.bd/companies/116/kemiko-pharmaceuticals-ltd/brands,Kemiko Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,132,204
https://medex.com.bd/companies/136/kumudini-pharma-ltd/brands,Kumudini Pharma Ltd.,N/A,,,,,,,,N/A,90,145
https://medex.com.bd/companies/40/labaid-pharma-ltd,Labaid Pharma Ltd.,https://medex.com.bd/storage/images/company_logos/Zz39DDocuD4COJvstIl5PzW7hgoVC6.png,,0.16%,-18.84%,61,"House-66, Mirpur Road, 67 Kalabagan 2nd Ln, Dhaka 1205",+88 02 222299910,+88 02 9615497,N/A,61,117
https://medex.com.bd/companies/129/leon-pharmaceuticals-ltd/brands,Leon Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,61,98
https://medex.com.bd/companies/389/lexicon-pharma/brands,Lexicon Pharma,N/A,,,,,,,,N/A,1,1
https://medex.com.bd/companies/41/libra-infusions-ltd/brands,Libra Infusions Ltd.,N/A,,,,,,,,N/A,8,15
https://medex.com.bd/companies/269/libra-pharmaceuticls-ltd/brands,Libra Pharmaceuticls Ltd.,N/A,,,,,,,,N/A,3,5
https://medex.com.bd/companies/412/maks-drug-limited/brands,Maks Drug Limited,N/A,,,,,,,,N/A,23,47
https://medex.com.bd/companies/279/marie-stopes-bangladesh/brands,Marie Stopes Bangladesh,N/A,,,,,,,,N/A,1,1
https://medex.com.bd/companies/131/marker-pharma-ltd/brands,Marker Pharma Ltd.,N/A,,,,,,,,N/A,28,36
https://medex.com.bd/companies/109/marksman-pharmaceuticals-ltd/brands,Marksman Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,19,25
https://medex.com.bd/companies/42/medicon-pharmaceuticals-ltd/brands,Medicon Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,82,113
https://medex.com.bd/companies/43/medimet-pharmaceuticals-ltd/brands,Medimet Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,72,129
https://medex.com.bd/companies/263/medrx-life-science-ltd/brands,MedRx Life Science Ltd.,N/A,,,,,,,,N/A,14,20
https://medex.com.bd/companies/419/mgh-healthcare-limited/brands,MGH Healthcare Limited,N/A,,,,,,,,N/A,5,6
https://medex.com.bd/companies/517/microlife-corporation/brands,Microlife Corporation,N/A,,,,,,,,N/A,1,3
https://medex.com.bd/companies/409/micromed/brands,MicroMed,N/A,,,,,,,,N/A,1,1
https://medex.com.bd/companies/44/millat-pharmaceuticals-ltd/brands,Millat Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,45,71
https://medex.com.bd/companies/45/modern-pharmaceuticals-ltd/brands,Modern Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,42,62
https://medex.com.bd/companies/206/momotaz-pharmaceuticals-ltd/brands,Momotaz Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,4,4
https://medex.com.bd/companies/123/monicopharma-ltd/brands,Monicopharma Ltd.,N/A,,,,,,,,N/A,70,102
https://medex.com.bd/companies/170/mst-pharma/brands,MST Pharma,N/A,,,,,,,,N/A,29,35
https://medex.com.bd/companies/143/mundipharma-bd-pvt-ltd/brands,Mundipharma (BD) Pvt. Ltd.,N/A,,,,,,,,N/A,19,35
https://medex.com.bd/companies/46/mystic-pharmaceuticals-ltd/brands,Mystic Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,28,38
https://medex.com.bd/companies/251/naafco-pharma-plc/brands,Naafco Pharma PLC,N/A,,,,,,,,N/A,59,95
https://medex.com.bd/companies/479/national-drug-co-ltd/brands,National Drug Co. Ltd.,N/A,,,,,,,,N/A,23,29
https://medex.com.bd/companies/47/navana-pharmaceuticals-ltd,Navana Pharmaceuticals Ltd.,https://medex.com.bd/storage/images/company_logos/CbyiHlMIxFvFRwphAcPhvIWYvib4TY.png,1992,0.81%,18.40%,197,"99/4, Block#B, Banani, Dhaka-1213",+880-2-550 33580-3,+880-2-550 33579,N/A,197,331
https://medex.com.bd/companies/327/nemus-pharmaceutical-pvt-ltd/brands,NEMUS Pharmaceutical Pvt. Ltd.,N/A,,,,,,,,N/A,1,1
https://medex.com.bd/companies/542/neoventis-pharmaceuticals-ltd/brands,Neoventis Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,1,1
https://medex.com.bd/companies/51/nevian-lifescience-plc,Nevian Lifescience PLC,https://medex.com.bd/storage/images/company_logos/F6lMYK6cWG2Rwk1X9hJycy9QBnqMH0a480Wif1bp.png,1973,0.79%,7.51%,37,"Tower One One Seven (Level 5), Plot # 117/A, Tejgaon Industrial Area, (Beside MH Samorita Hospital), Dhaka 1208",+880 9606 300300,+880 2963 2641,N/A,37,74
https://medex.com.bd/companies/53/nipa-pharmaceuticals-ltd/brands,Nipa Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,78,106
https://medex.com.bd/companies/489/nipro/brands,NIPRO,N/A,,,,,,,,N/A,1,2
https://medex.com.bd/companies/48/nipro-jmi-pharma-ltd,NIPRO JMI Pharma Ltd.,https://medex.com.bd/storage/images/company_logos/tsp2l8Mq4uBh5yisHUuHj7Uuy5CgnG.png,2012,1.19%,21.82%,123,"Unique Heights (Level-6), 117, Kazi Nazrul Islam Avenue
Dhaka-1217.","55138726, 55138727, 55138728",88-0255138725,N/A,123,229
https://medex.com.bd/companies/124/novatek-pharmaceuticals-ltd/brands,Novatek Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,75,119
https://medex.com.bd/companies/49/novelta-bestway-pharma-ltd/brands,Novelta Bestway Pharma Ltd.,N/A,,,,,,,,N/A,28,42
https://medex.com.bd/companies/133/novo-healthcare-and-pharma-ltd/brands,Novo Healthcare and Pharma Ltd.,N/A,,,,,,,,N/A,64,100
https://medex.com.bd/companies/186/novo-nordisk-pharma-pvt-ltd,Novo Nordisk Pharma (Pvt.) Ltd,https://medex.com.bd/storage/images/company_logos/VaCw9bRjLIO4oMT1KjaovQ8Ltl2NS8.png,,1.46%,6.90%,13,"Ninakabbo, Level-9, 227/A,
Gulshan Tejgaon Link Road,
Tejgaon, Dhaka 1208",+880 2 989 3701,,N/A,13,18
https://medex.com.bd/companies/50/novus-pharmaceuticals-ltd/brands,Novus Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,20,25
https://medex.com.bd/companies/422/nutrilife-pharma/brands,Nutrilife Pharma,N/A,,,,,,,,N/A,1,1
https://medex.com.bd/companies/122/nuvista-pharma-ltd,Nuvista Pharma Ltd.,https://medex.com.bd/storage/images/company_logos/JTWXnk9iZQhT4v9q25zjjiYHmQ6ut9.png,1964,0.80%,20.61%,98,"Mirpur DOHS Cultural Centre (6th Floor) , Road- 9, Mirpur DOHS, Pallabi, Dhaka-1216, Bangladesh.",+8802-44806691,+88 (02) 44806690,N/A,98,145
https://medex.com.bd/companies/207/one-pharma-ltd/brands,One Pharma Ltd.,N/A,,,,,,,,N/A,72,127
https://medex.com.bd/companies/384/opsonin-herbal-nutraceuticals-ltd/brands,Opsonin Herbal & Nutraceuticals Ltd.,N/A,,,,,,,,N/A,20,23
https://medex.com.bd/companies/56/opsonin-pharma-ltd,Opsonin Pharma Ltd.,https://medex.com.bd/storage/images/company_logos/2S73wdZb94grsmT847MVvDeL9dAaea.png,1956,4.57%,14.99%,537,"Opsonin Building, 30, New Eskaton Road, Dhaka-1000","(880-02) 48311900, 55142000",(880-02) 8311905,N/A,537,1082
https://medex.com.bd/companies/567/organic-herbal-nutraceuticals-ltd/brands,Organic Herbal & Nutraceuticals Ltd.,N/A,,,,,,,,N/A,1,1
https://medex.com.bd/companies/173/orion-infusion-ltd/brands,Orion Infusion Ltd.,N/A,,,,,,,,N/A,18,26
https://medex.com.bd/companies/58/orion-pharma-ltd,Orion Pharma Ltd.,https://medex.com.bd/storage/images/company_logos/WKU1VF6VQqV16JQUSi2xpZfqEK9ekM.png,,0.66%,5.05%,149,"Orion House, 153-154 Tejgaon Industrial Area, Dhaka-1208","+88 02 8870133, 8870134",+88 02 8870130,N/A,149,264
https://medex.com.bd/companies/55/osl-pharma-limited/brands,OSL Pharma Limited,N/A,,,,,,,,N/A,143,234
https://medex.com.bd/companies/118/oyster-pharmaceuticals-ltd/brands,Oyster Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,9,10
https://medex.com.bd/companies/145/pacific-pharmaceuticals-ltd/brands,Pacific Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,164,275
https://medex.com.bd/companies/59/peoples-pharma-ltd/brands,Peoples Pharma Ltd.,N/A,,,,,,,,N/A,24,31
https://medex.com.bd/companies/175/pfizer/brands,Pfizer,N/A,,,,,,,,N/A,1,1
https://medex.com.bd/companies/195/pharmacil-limited/brands,Pharmacil Limited,N/A,,,,,,,,N/A,8,15
https://medex.com.bd/companies/60/pharmadesh-laboratories-ltd/brands,Pharmadesh Laboratories Ltd.,N/A,,,,,,,,N/A,92,139
https://medex.com.bd/companies/112/pharmasia-limited,Pharmasia Limited,https://medex.com.bd/storage/images/company_logos/UbdAiAQrT89AzclAB69A9UOogmZfO2.png,2008,0.12%,14.15%,91,"Sonartori Tower (10th floor), 12 Sonargaon Road
Dhaka-1000","+88 02 9632725
+88 02 9632726",+88 02 9632727,N/A,91,161
https://medex.com.bd/companies/202/pharmik-laboratories-ltd/brands,Pharmik Laboratories Ltd.,N/A,,,,,,,,N/A,81,100
https://medex.com.bd/companies/527/physic-pharmaceuticals-ltd/brands,Physic pharmaceuticals ltd.,N/A,,,,,,,,N/A,14,24
https://medex.com.bd/companies/87/popular-pharmaceuticals-ltd,Popular Pharmaceuticals Ltd.,https://medex.com.bd/storage/images/company_logos/ao8kaBjkqg9bpHuRT7UdFAZkEVz34w.png,2002,3.74%,33.64%,381,"17 Shukrabad, West Panthopath, Dhaka-1207","+880-1833332352-55;
+880-2-9102850-3","+880-2-9134054;
+880-2-9134096",N/A,338,554
https://medex.com.bd/companies/201/premier-pharmaceuticals-ltd/brands,Premier Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,32,39
https://medex.com.bd/companies/88/prime-pharmaceuticals-ltd/brands,Prime Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,13,14
https://medex.com.bd/companies/391/pristine-pharmaceuticals-ltd/brands,Pristine Pharmaceuticals Ltd,N/A,,,,,,,,N/A,42,57
https://medex.com.bd/companies/280/purnava-limited/brands,Purnava Limited,N/A,,,,,,,,N/A,19,29
https://medex.com.bd/companies/253/quality-pharmaceuticals-ltd/brands,Quality Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,6,6
https://medex.com.bd/companies/465/radiant-export-import-enterprise/brands,Radiant Export Import Enterprise,N/A,,,,,,,,N/A,1,6
https://medex.com.bd/companies/331/radiant-nutraceuticals-ltd/brands,Radiant Nutraceuticals Ltd.,N/A,,,,,,,,N/A,32,37
